id,name,producturl,bigimage,categoryid1,categoryid2,categoryid3,description,price,instock
F077510798,ディオール ライナー ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%82%A2%E3%82%A4/%E3%82%A2%E3%82%A4%E3%83%A9%E3%82%A4%E3%83%8A%E3%83%BC/pr-liners-y0775101_f077510798-%E7%B4%B0%E3%81%8B%E3%81%8F%E8%BC%AA%E9%83%AD%E3%82%92%E6%95%B4%E3%81%88%E3%80%81%E3%81%8F%E3%81%A3%E3%81%8D%E3%82%8A%E3%81%A8%E3%81%97%E3%81%9F%E3%83%A9%E3%82%A4%E3%83%B3%E3%82%92%E6%8F%8F%E3%81%8F%E3%83%AA%E3%82%AD%E3%83%83%E3%83%88%E3%82%99-%E3%82%A2%E3%82%A4%E3%83%A9%E3%82%A4%E3%83%8A%E3%83%BC.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900286184.jpg,メイクアップ,,,細いラインも太いラインも自在に掛けるリキッド アイライナー。リキッドを押し出す特殊ダイヤル構造で、簡単にひと塗りで描き上げることができます。,4320,1
F077510098,ディオール ライナー ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%82%A2%E3%82%A4/%E3%82%A2%E3%82%A4%E3%83%A9%E3%82%A4%E3%83%8A%E3%83%BC/pr-liners-y0775101_f077510098-%E7%B4%B0%E3%81%8B%E3%81%8F%E8%BC%AA%E9%83%AD%E3%82%92%E6%95%B4%E3%81%88%E3%80%81%E3%81%8F%E3%81%A3%E3%81%8D%E3%82%8A%E3%81%A8%E3%81%97%E3%81%9F%E3%83%A9%E3%82%A4%E3%83%B3%E3%82%92%E6%8F%8F%E3%81%8F%E3%83%AA%E3%82%AD%E3%83%83%E3%83%88%E3%82%99-%E3%82%A2%E3%82%A4%E3%83%A9%E3%82%A4%E3%83%8A%E3%83%BC.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900286177.jpg,メイクアップ,,,細いラインも太いラインも自在に掛けるリキッド アイライナー。リキッドを押し出す特殊ダイヤル構造で、簡単にひと塗りで描き上げることができます。,4320,1
F002867002,ディオール アディクト リップ マキシマイザー ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%83%8F%E3%82%99%E3%83%83%E3%82%AF%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%82%99-%E3%83%95%E3%82%9A%E3%83%AD/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A/pr-lipspros-y0028670_f002867002-%E7%9E%AC%E6%99%82%E3%81%AB%E5%86%85%E5%81%B4%E3%81%8B%E3%82%89%E3%81%B5%E3%81%A3%E3%81%8F%E3%82%89%E3%81%A8%E3%83%9B%E3%82%99%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%A0%E3%81%AE%E3%81%82%E3%82%8B%E5%94%87%E3%81%AB%E5%B0%8E%E3%81%8F%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A%E3%82%AF%E3%82%99%E3%83%AD%E3%82%B9.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252Fsku_3348901002356.jpg,メイクアップ,bestseller,,ディオール バックステージ発、瞬時にボリュームのある唇を叶える初のグロス。リップマキシマイザーから、限定色#002 アプリコットが登場。一塗りで唇に潤いと驚きのボリュームアップ効果を与え、艶やかな笑顔を叶えます。ミントとバニラのアコードがふんわりと香り、夢中になるフレッシュ感をプラスします。日を追うごとに、弾むリップが叶う夢のようなリップグロス。 ,3888,1
F002867001,ディオール アディクト リップ マキシマイザー ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%83%8F%E3%82%99%E3%83%83%E3%82%AF%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%82%99-%E3%83%95%E3%82%9A%E3%83%AD/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A/pr-lipspros-y0028670_f002867001-%E7%9E%AC%E6%99%82%E3%81%AB%E5%86%85%E5%81%B4%E3%81%8B%E3%82%89%E3%81%B5%E3%81%A3%E3%81%8F%E3%82%89%E3%81%A8%E3%83%9B%E3%82%99%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%A0%E3%81%AE%E3%81%82%E3%82%8B%E5%94%87%E3%81%AB%E5%B0%8E%E3%81%8F%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A%E3%82%AF%E3%82%99%E3%83%AD%E3%82%B9.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900806931.jpg,メイクアップ,bestseller,,ディオール バックステージ発、瞬時にボリュームのある唇を叶える初のグロス。リップマキシマイザーから、限定色#002 アプリコットが登場。一塗りで唇に潤いと驚きのボリュームアップ効果を与え、艶やかな笑顔を叶えます。ミントとバニラのアコードがふんわりと香り、夢中になるフレッシュ感をプラスします。日を追うごとに、弾むリップが叶う夢のようなリップグロス。 ,3888,1
F002703004,ディオール アディクト リップ グロウ ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A-%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%8F%E3%82%9A%E3%83%BC%E3%83%88/pr-lipprimers-y0027010_f002703004-%E3%81%8F%E3%81%A1%E3%81%B2%E3%82%99%E3%82%8B%E3%81%8B%E3%82%99%E6%9C%AC%E6%9D%A5%E3%82%82%E3%81%A4%E8%87%AA%E7%84%B6%E3%81%AA-%E3%83%88%E3%83%BC%E3%83%B3%E3%82%92%E5%BC%95%E3%81%8D%E5%87%BA%E3%81%99%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A%E3%83%8F%E3%82%99%E3%83%BC%E3%83%A0.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348901199520.jpg,メイクアップ,,,【＠ｃｏｓｍｅベストコスメアワード2016 ベストリップケア 第1位】【＠ｃｏｓｍｅベストコスメアワード2015 ベストリップケア第2位】 バックステージのマストハブ。唇のナチュラルなトーンを引き出し、美しく保つディオール初のユニバーサル リップバームは、ひとりひとりのスキントーンに合ったカスタム メイドの血色で唇を彩ります。 内側から潤った、ふっくらと弾む、輝きあふれる唇を叶えます。,3888,1
F002703005,ディオール アディクト リップ グロウ ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A-%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%8F%E3%82%9A%E3%83%BC%E3%83%88/pr-lipprimers-y0027010_f002703005-%E3%81%8F%E3%81%A1%E3%81%B2%E3%82%99%E3%82%8B%E3%81%8B%E3%82%99%E6%9C%AC%E6%9D%A5%E3%82%82%E3%81%A4%E8%87%AA%E7%84%B6%E3%81%AA-%E3%83%88%E3%83%BC%E3%83%B3%E3%82%92%E5%BC%95%E3%81%8D%E5%87%BA%E3%81%99%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A%E3%83%8F%E3%82%99%E3%83%BC%E3%83%A0.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900898844_new.jpg,メイクアップ,,,【＠ｃｏｓｍｅベストコスメアワード2016 ベストリップケア 第1位】【＠ｃｏｓｍｅベストコスメアワード2015 ベストリップケア第2位】 バックステージのマストハブ。唇のナチュラルなトーンを引き出し、美しく保つディオール初のユニバーサル リップバームは、ひとりひとりのスキントーンに合ったカスタム メイドの血色で唇を彩ります。 内側から潤った、ふっくらと弾む、輝きあふれる唇を叶えます。,3888,1
F002701001,ディオール アディクト リップ グロウ ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%A1%E3%82%A4%E3%82%AF%E3%82%A2%E3%83%83%E3%83%95%E3%82%9A/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A/%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A-%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%8F%E3%82%9A%E3%83%BC%E3%83%88/pr-lipprimers-y0027010_f002701001-%E3%81%8F%E3%81%A1%E3%81%B2%E3%82%99%E3%82%8B%E3%81%8B%E3%82%99%E6%9C%AC%E6%9D%A5%E3%82%82%E3%81%A4%E8%87%AA%E7%84%B6%E3%81%AA-%E3%83%88%E3%83%BC%E3%83%B3%E3%82%92%E5%BC%95%E3%81%8D%E5%87%BA%E3%81%99%E3%83%AA%E3%83%83%E3%83%95%E3%82%9A%E3%83%8F%E3%82%99%E3%83%BC%E3%83%A0.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900898844_new.jpg,メイクアップ,,,【＠ｃｏｓｍｅベストコスメアワード2016 ベストリップケア 第1位】【＠ｃｏｓｍｅベストコスメアワード2015 ベストリップケア第2位】 バックステージのマストハブ。唇のナチュラルなトーンを引き出し、美しく保つディオール初のユニバーサル リップバームは、ひとりひとりのスキントーンに合ったカスタム メイドの血色で唇を彩ります。 内側から潤った、ふっくらと弾む、輝きあふれる唇を叶えます。,3888,1
F067422009,ハイヤー エナジー ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9/%E3%83%A1%E3%83%B3%E3%82%B9%E3%82%99-br%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9/%E3%83%8F%E3%82%A4%E3%83%A4%E3%83%BC/pr-higherfpl-y0674201_f067422009-%E3%82%AA%E3%83%BC%E3%83%88%E3%82%99%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900574656_052015_v2.jpg,フレグランス,,,ポジティブなエネルギーを加速させる、 “ハイヤー エナジー”。 フレッシュ ウッディー スパイシーの香り。 シルバーのミラーキャップを配した、 蛍光グリーンに輝くボトル。 あなたの ダイナミックなヤング アーバン スピリットを呼び覚まします。,8856,1
F060288100,ミス ディオール ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9/%E3%82%A6%E3%82%A4%E3%83%A1%E3%83%B3%E3%82%B9%E3%82%99-%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9/%E3%83%9F%E3%82%B9-%E3%83%86%E3%82%99%E3%82%A3%E3%82%AA%E3%83%BC%E3%83%AB/pr-missdiorbathbody-y0602801_f060288100-%E3%83%9B%E3%82%99%E3%83%86%E3%82%99%E3%82%A3-%E3%83%AD%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900710320.jpg,フレグランス,,,"""ほのかなフローラル シプレーの香りが肌を包み込みます。 シルク プロテイン（絹タンパク質）とフラワー エキス配合のミルキーなテクスチャーです。肌を保湿し、なめらかに整えます。""",7560,1
F003072609,フォーエヴァー アンド エヴァー ディオール ,https://ad.doubleclick.net/ddm/clk/307366385;134815042;e?http://www.dior.com/beauty/ja_jp/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9-%E3%83%92%E3%82%99%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9/%E3%82%A6%E3%82%A4%E3%83%A1%E3%83%B3%E3%82%B9%E3%82%99-%E3%83%95%E3%83%AC%E3%82%AF%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9/%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%82%B7%E3%83%A7%E3%83%B3-%E3%83%88%E3%82%99%E3%82%A5-%E3%83%A0%E3%83%83%E3%82%B7%E3%83%A5-%E3%83%86%E3%82%99%E3%82%A3%E3%82%AA%E3%83%BC%E3%83%AB/pr-creationsdemonsieurdiorfpl-y0030726_f003072609-%E3%82%AA%E3%83%BC%E3%83%88%E3%82%99%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC.html?utm_source=Criteo&utm_medium=DSP&utm_campaign=PCD_EC_JP_Criteo,http://www.dior.com/beauty/version-5.1432748111911/resize-image/ep/0/390/100/0/packshots%252F3348900921429_052015.jpg,フレグランス,,,ピンクのボトルに秘めた、永遠の愛を 約束する香り、フォーエヴァー アンド エヴァー ディオール。 美しく咲き誇る バラのエッセンスをベースに フリージアとジャスミンをブレンドした、みずみずしいフレッシュ フローラル ブーケの香りです。,10800,1
